source_table,source_columns,target_table,target_columns,constraint_name,source_module,target_module,relationship_label
cmms_jobcard_faulty_category,JobcardNumber,cmms_jobcard_mst,JM_SectionJobNo,FK_CMMS_JOBCARD_FAULTY_CATEGORY_CMMS_JOBCARD_MST,Job Cards,Job Cards,cmms_jobcard_faulty_category -> cmms_jobcard_mst
cmms_jobcard_faulty_section,FaultySection|FaultyType,cmms_fault_mst,FM_FAULT_ID|FM_TYPE,FK_CMMS_JOBCARD_FAULTY_SECTION_CMMS_FAULT_MST,Job Cards,Job Cards,cmms_jobcard_faulty_section -> cmms_fault_mst
cmms_jobcard_faulty_section,JobcardNumber,cmms_jobcard_mst,JM_SectionJobNo,FK_CMMS_JOBCARD_FAULTY_SECTION_CMMS_JOBCARD_MST,Job Cards,Job Cards,cmms_jobcard_faulty_section -> cmms_jobcard_mst
cmms_jobcard_inspection_info,JobcardNumber,cmms_jobcard_mst,JM_SectionJobNo,FK_CMMS_JOBCARD_INSPECTION_INFO_CMMS_JOBCARD_MST,Job Cards,Job Cards,cmms_jobcard_inspection_info -> cmms_jobcard_mst
cmms_jobcard_mst,JM_EQM_TYPE|JM_EQM_ID,cmms_eqip_mst,EQM_TYPE|EQM_ID,FK_CMMS_JOBCARD_MST_CMMS_EQIP_MST,Job Cards,Equipment / Instruments,cmms_jobcard_mst -> cmms_eqip_mst
cmms_jobcard_repair_info,JobcardNumber,cmms_jobcard_mst,JM_SectionJobNo,FK_CMMS_JOBCARD_REPAIR_INFO_CMMS_JOBCARD_MST,Job Cards,Job Cards,cmms_jobcard_repair_info -> cmms_jobcard_mst
cmms_jobcard_request_info,JRI_JobCardNo,cmms_jobcard_mst,JM_SectionJobNo,FK_CMMS_JOBCARD_REQUEST_INFO_CMMS_JOBCARD_MST,Job Cards,Job Cards,cmms_jobcard_request_info -> cmms_jobcard_mst
cmms_jobcard_request_item_dtl,JR_SECTIONJOBNO,cmms_jobcard_mst,JM_SectionJobNo,FK_CMMS_JOBCARD_REQUEST_ITEM_DTL_CMMS_JOBCARD_MST,Job Cards,Job Cards,cmms_jobcard_request_item_dtl -> cmms_jobcard_mst
cmms_jobcard_spares_equip,JobcardNumber,cmms_jobcard_mst,JM_SectionJobNo,FK_CMMS_JOBCARD_SPARES_EQUIP_CMMS_JOBCARD_MST,Job Cards,Job Cards,cmms_jobcard_spares_equip -> cmms_jobcard_mst
cmms_jobcard_status_hist,JH_SectionJobNo,cmms_jobcard_mst,JM_SectionJobNo,FK_CMMS_JOBCARD_STATUS_HIST_CMMS_JOBCARD_MST,Job Cards,Job Cards,cmms_jobcard_status_hist -> cmms_jobcard_mst
cmms_jobrequest_item_dtl,JR_JOBREQUESTNO,cmms_jobrequest_mst,JR_JOBREQUESTNO,FK_CMMS_JOBREQUEST_ITEM_DTL_CMMS_JOBREQUEST_MST,Job Requests,Job Requests,cmms_jobrequest_item_dtl -> cmms_jobrequest_mst
cmms_jobrequest_mst,JR_EQM_TYPE|JR_EQM_ID,cmms_eqip_mst,EQM_TYPE|EQM_ID,FK_CMMS_JOBREQUEST_MST_CMMS_EQIP_MST,Job Requests,Equipment / Instruments,cmms_jobrequest_mst -> cmms_eqip_mst
cmms_jobrequest_mst,JR_SECTIONJOB_NO,cmms_jobcard_mst,JM_SectionJobNo,FK_CMMS_JOBREQUEST_MST_CMMS_JOBCARD_MST,Job Requests,Job Cards,cmms_jobrequest_mst -> cmms_jobcard_mst
cmms_jobrequest_mst,JR_INST_TYPE,cmms_product_mst,PROD_ID,FK_CMMS_JOBREQUEST_MST_CMMS_PRODUCT_MST,Job Requests,Master Data / Lookup,cmms_jobrequest_mst -> cmms_product_mst
cmms_jobrequest_mst,JR_DIVISION,cmms_section_mst,SM_ID,FK_CMMS_JOBREQUEST_MST_CMMS_SECTION_MST,Job Requests,Organization / Employee,cmms_jobrequest_mst -> cmms_section_mst
cmms_jobrequest_project_dtl,JR_JOBREQUESTNO,cmms_jobrequest_mst,JR_JOBREQUESTNO,FK_CMMS_JOBREQUEST_PROJECTDTL_CMMS_JOBREQUEST_MST,Job Requests,Job Requests,cmms_jobrequest_project_dtl -> cmms_jobrequest_mst
cmms_jobrequest_project_dtl,JR_PROJECTID,cmms_proj_mst,PR_ID,FK_CMMS_JOBREQUEST_PROJECTDTL_CMMS_PROJ_MST,Job Requests,Master Data / Lookup,cmms_jobrequest_project_dtl -> cmms_proj_mst
