table_name,index_name,index_type,columns,non_unique,raw_definition,module_guess
cmms_pur_mst,PRIMARY,PRIMARY,PUM_NO,NO,ADD PRIMARY KEY (`PUM_NO`),Procurement / AMC / Inventory
cmms_schedule_eqip_dtl,PRIMARY,PRIMARY,SC_PLAN_ID|SC_TYPE|SC_EQM_ID|SC_EQM_TYPE|SC_SCHEDULE_DATE,NO,"ADD PRIMARY KEY (`SC_PLAN_ID`,`SC_TYPE`,`SC_EQM_ID`,`SC_EQM_TYPE`,`SC_SCHEDULE_DATE`)",Equipment / Instruments
cmms_schedule_eqip_dtl,FK_CMMS_SCHEDULE_EQIP_DTL_CMMS_EQIP_MST,INDEX,SC_EQM_TYPE|SC_EQM_ID,YES,"ADD KEY `FK_CMMS_SCHEDULE_EQIP_DTL_CMMS_EQIP_MST` (`SC_EQM_TYPE`,`SC_EQM_ID`)",Equipment / Instruments
cmms_schedule_mst,PRIMARY,PRIMARY,SC_PLAN_ID|SC_TYPE,NO,"ADD PRIMARY KEY (`SC_PLAN_ID`,`SC_TYPE`)",Scheduling / PM-CAL
cmms_schedule_mst,FK_CMMS_SCHEDULE_MST_CMMS_SECTION_MST,INDEX,SC_SM_ID,YES,ADD KEY `FK_CMMS_SCHEDULE_MST_CMMS_SECTION_MST` (`SC_SM_ID`),Scheduling / PM-CAL
cmms_section_mst,PRIMARY,PRIMARY,SM_ID,NO,ADD PRIMARY KEY (`SM_ID`),Organization / Employee
cmms_supplier_mfr,IX_CMMS_SUPPLIER_MFR,UNIQUE,SUP_ID|MFR_ID|MFR_PROD_ID,NO,"ADD UNIQUE KEY `IX_CMMS_SUPPLIER_MFR` (`SUP_ID`,`MFR_ID`,`MFR_PROD_ID`)",Vendor / Manufacturer
cmms_supplier_mfr,FK_CMMS_SUPPLIER_MFR_CMMS_CONT_MST1,INDEX,MFR_ID,YES,ADD KEY `FK_CMMS_SUPPLIER_MFR_CMMS_CONT_MST1` (`MFR_ID`),Vendor / Manufacturer
cmms_supplier_mfr,FK_CMMS_SUPPLIER_MFR_CMMS_PRODUCT_MST,INDEX,MFR_PROD_ID,YES,ADD KEY `FK_CMMS_SUPPLIER_MFR_CMMS_PRODUCT_MST` (`MFR_PROD_ID`),Vendor / Manufacturer
cmms_task_mst,PRIMARY,PRIMARY,TSK_ID,NO,ADD PRIMARY KEY (`TSK_ID`),Master Data / Lookup
departments,PRIMARY,PRIMARY,department_id,NO,ADD PRIMARY KEY (`department_id`),Organization / Employee
departments,uk_dept_code,UNIQUE,department_code,NO,ADD UNIQUE KEY `uk_dept_code` (`department_code`),Organization / Employee
equipment_status_history,PRIMARY,PRIMARY,history_id,NO,ADD PRIMARY KEY (`history_id`),Equipment / Instruments
equipment_status_history,fk_esh_jc,INDEX,related_job_card,YES,ADD KEY `fk_esh_jc` (`related_job_card`),Equipment / Instruments
equipment_status_history,idx_esh_eqip_time,INDEX,eqm_type|eqm_id|transitioned_at,YES,"ADD KEY `idx_esh_eqip_time` (`eqm_type`,`eqm_id`,`transitioned_at`)",Equipment / Instruments
equipment_status_history,idx_esh_time,INDEX,transitioned_at,YES,ADD KEY `idx_esh_time` (`transitioned_at`),Equipment / Instruments
